Date,Company Name,Research by,Reco Price,Target
"June 19, 2025",Larsen,Motilal Oswal,3620.2,4100 (11.9%)
"June 19, 2025",Bansal Wire Ind,Anand Rathi,372.4,550 (44.1%)
"June 19, 2025",Trent,Sharekhan,5721.55,6781 (14.9%)
"June 18, 2025",Axis Bank,Emkay Global Financial Services,1220.9,1400 (14.6%)
"June 18, 2025",Gravita India,Motilal Oswal,1678.8,2300 (37.3%)
"June 18, 2025",Siemens Energy,Motilal Oswal,0,3000 (13.6%)
"June 18, 2025",Trent,Motilal Oswal,5732.9,6900 (16.9%)
"June 18, 2025",Ambuja Cements,Motilal Oswal,544.85,630 (18%)
"June 18, 2025",Shree Cements,Sharekhan,29309.75,33400 (15.6%)
"June 18, 2025",Bharat Elec,Sharekhan,400.5,445 (9%)
"June 18, 2025",Voltas,Emkay Global Financial Services,1289.85,1450 (12%)
"June 17, 2025",Happy Forgings,ICICI Securities,971.45,1150 (19.6%)
"June 17, 2025",Tata Motors,Emkay Global Financial Services,675,750 (10.9%)
"June 17, 2025",Container Corp,Motilal Oswal,750.75,980 (32.7%)
"June 17, 2025",Hind Zinc,Motilal Oswal,486.4,480 (9.4%)
"June 17, 2025",BSE Limited,Motilal Oswal,0,2300 (-14.4%)
"June 17, 2025",Voltas,Motilal Oswal,1292.6,1350 (4.3%)
"June 17, 2025",Persistent,Sharekhan,6068.6,7000 (14.6%)
"June 17, 2025",Tata Motors,Motilal Oswal,675,690 (2%)
"June 17, 2025",DCB Bank,ICICI Securities,141.6,175 (22.6%)
"June 16, 2025",Zee Entertain,Motilal Oswal,137.95,150 (12.7%)
"June 16, 2025",Jindal Stainles,Motilal Oswal,701.05,810 (20.8%)
"June 16, 2025",AU Small Financ,Sharekhan,781.9,900 (13.1%)
"June 16, 2025",Galaxy Surfacta,Motilal Oswal,2504.15,3180 (25.7%)
"June 13, 2025",UTI AMC,Motilal Oswal,1224.6,1550 (23.4%)
"June 12, 2025",Shree Cements,ICICI Securities,29694.8,35330 (22.3%)
"June 12, 2025",P and G,Motilal Oswal,13377.45,15000 (11.8%)
"June 12, 2025",Jubilant Ing.,Prabhudas Lilladher,680.35,713 (1.7%)
"June 12, 2025",LTIMindtree,Sharekhan,5410.1,6200 (15.3%)
"June 12, 2025",Tata Comm,Motilal Oswal,1702.1,1660 (0.3%)
"June 10, 2025",Home First,Motilal Oswal,1266.35,1500 (16%)
"June 10, 2025",Tata Motors,Motilal Oswal,732.25,690 (2%)
"June 10, 2025",Balaji Amines,Deven Choksey,1495.25,1612 (16.2%)
"June 09, 2025",Premier Energie,ICICI Securities,1064.7,1320 (28.3%)
"June 09, 2025",TATA Cons. Prod,Motilal Oswal,1120.85,1360 (23.6%)
"June 09, 2025",Aditya Birla F,Sharekhan,77.39,95 (28.9%)
"June 09, 2025",PNC Infratech,Geojit Financial Services,313.85,386 (31.3%)
"June 09, 2025",Time Techno,Motilal Oswal,439.8,578 (33%)
"June 08, 2025",Mahanagar Gas,Motilal Oswal,1329.25,1760 (26.1%)
"June 06, 2025",Power Mech,Asit C. Mehta,3039.55,4099 (34.6%)
"June 06, 2025",Aarti Ind,Sharekhan,476.7,550 (24.6%)
"June 06, 2025",Delhivery,Geojit Financial Services,366.9,431 (20.4%)
"June 05, 2025",KPR Mill,Sharekhan,1143.5,1287 (17.4%)
"June 05, 2025",Granules India,Deven Choksey,533.9,612 (25.5%)
"June 05, 2025",Ceat,Motilal Oswal,3707.5,4159 (17.8%)
"June 04, 2025",JK Lakshmi Cem,Sharekhan,806,915 (11.8%)
"June 04, 2025",Finolex Cables,Sharekhan,967.5,1250 (36.5%)
"June 04, 2025",PNB,Geojit Financial Services,109.45,126 (22.2%)
"June 04, 2025",PNB Housing Fin,Motilal Oswal,1057,1230 (17.1%)
"June 04, 2025",PI Industries,Emkay Global Financial Services,3978.4,3650 (-11.4%)
"June 04, 2025",Gulf Oil Lubric,Emkay Global Financial Services,1166.75,1800 (49.6%)
"June 04, 2025",Indian Bank,Emkay Global Financial Services,633.55,675 (9.6%)
"June 04, 2025",Ceat,Emkay Global Financial Services,3619.15,4100 (16.1%)
"June 04, 2025",Ceat,ICICI Securities,3619.15,3625 (2.6%)
"June 04, 2025",KEC Intl,Prabhudas Lilladher,880.45,911 (1.5%)
"June 04, 2025",Engineers India,Prabhudas Lilladher,231.95,250 (13%)
"June 04, 2025",Bectors Food,LKP Securities Limited,1436.2,1750 (27.8%)
"June 03, 2025",RBL Bank,Emkay Global Financial Services,210.9,250 (9.6%)
"June 03, 2025",Shriram Finance,Motilal Oswal,647.6,800 (20%)
"June 03, 2025",KEC Intl,Motilal Oswal,870.25,940 (4.7%)
"June 03, 2025",KEC Intl,Geojit Financial Services,870.25,998 (11.2%)
"June 03, 2025",Bharat Elec,Geojit Financial Services,385.9,441 (8%)
"June 03, 2025",MM Forgings,Anand Rathi,359.8,480 (30.4%)
"May 31, 2025",TCI Express,Motilal Oswal,762.8,710 (-5.1%)
"May 31, 2025",Apollo Hospital,Motilal Oswal,6878.2,8050 (13.9%)
"May 31, 2025",Spandana Sphoor,Motilal Oswal,290.25,340 (26.9%)
"May 31, 2025",Adani Ports,Motilal Oswal,1432.35,1700 (25.9%)
"May 30, 2025",Sun TV Network,Motilal Oswal,630.25,630 (3.6%)
"May 28, 2025",Jindal Steel,Motilal Oswal,944.1,1100 (22.3%)
"May 28, 2025",Oil India,Motilal Oswal,429.85,495 (6.4%)
"May 28, 2025",NMDC,Motilal Oswal,70.85,83 (22.1%)
"June 03, 2025",Vodafone Idea,ICICI Securities,6.78,7 (6.7%)
"June 03, 2025",CenturyPlyboard,ICICI Securities,782.6,743 (0.1%)
"June 03, 2025",JNK India,Deven Choksey,343.3,395 (9.6%)
"June 02, 2025",Bata India,Motilal Oswal,1261,1200
"June 02, 2025",Vodafone Idea,Motilal Oswal,7.04,6.5 (-0.9%)
"June 02, 2025",Go Fashion,Motilal Oswal,860.65,1127 (31.7%)
"June 02, 2025",CenturyPlyboard,Prabhudas Lilladher,782.55,775 (4.4%)
"June 02, 2025",Lemon Tree,Prabhudas Lilladher,138.75,174 (30%)
"June 02, 2025",Bajaj Auto,LKP Securities Limited,8511.9,9151 (9.3%)
"June 01, 2025",Senco Gold,Emkay Global Financial Services,378.8,500 (47.7%)
"June 01, 2025",Federal Bank,Emkay Global Financial Services,202,240 (15.6%)
"June 01, 2025",Star Cement,Emkay Global Financial Services,217.2,250 (18.2%)
